id,year,wage2,experience,weeks,occupation,industry,south,smsa,married,gender,union,education,ethnicity
135,1982,4188.692308,21,48,white,yes,no,no,yes,male,no,12,other
136,1982,5852.999385,26,48,white,yes,no,yes,yes,male,no,13,other
137,1982,3945.748154,29,50,blue,yes,no,yes,yes,male,no,11,other
138,1982,4886.807692,29,47,white,yes,no,yes,yes,male,no,16,other
139,1982,3909.446154,10,49,white,no,no,yes,yes,male,no,16,other
140,1982,3811.71,16,52,blue,yes,yes,no,yes,male,yes,9,other
141,1982,1868.156769,21,49,blue,no,no,no,yes,male,no,8,other
142,1982,3415.180462,41,47,white,yes,no,yes,yes,male,no,16,other
143,1982,2960.009231,40,48,blue,yes,no,yes,yes,male,no,12,other
144,1982,3630.2,13,48,white,yes,no,no,yes,male,no,14,other
145,1982,4560.089692,25,49,white,no,no,yes,yes,male,no,16,other
146,1982,4607.561538,42,48,white,yes,no,no,yes,male,no,15,other
147,1982,3778.200462,18,47,white,yes,no,no,yes,male,no,12,other
148,1982,2680.763077,10,49,white,no,no,yes,yes,male,no,14,other
149,1982,2792.461538,12,37,white,no,no,yes,no,male,yes,16,other
150,1982,2516.007846,22,5,blue,yes,no,yes,yes,male,yes,12,other
151,1982,2577.442,26,46,blue,no,yes,no,yes,male,no,16,other
152,1982,837.7384615,10,35,blue,no,yes,no,no,male,no,8,afam
153,1982,2233.969231,19,48,blue,no,no,yes,no,male,no,12,other
154,1982,3490.576923,18,49,white,no,yes,yes,no,male,no,17,other
155,1982,4467.938462,9,48,white,yes,no,yes,yes,male,no,16,other
156,1982,3281.142308,39,48,blue,no,no,no,yes,male,no,13,other
157,1982,2792.461538,14,50,blue,yes,no,no,yes,male,yes,12,other
158,1982,3345.368923,35,47,blue,yes,no,yes,yes,male,no,12,other
159,1982,2233.969231,36,49,blue,yes,no,no,yes,male,yes,12,other
160,1982,3560.388462,31,35,white,no,no,yes,yes,male,yes,17,other
161,1982,2973.971538,15,52,blue,no,no,no,yes,male,no,12,other
162,1982,1884.911538,14,49,blue,no,no,yes,no,male,no,12,other
163,1982,2141.818,16,49,blue,yes,yes,yes,yes,male,yes,12,other
164,1982,2250.724,16,41,blue,yes,yes,yes,no,female,no,11,afam
165,1982,2220.006923,43,45,blue,yes,no,no,yes,male,yes,12,other
166,1982,4104.918462,16,48,white,no,no,yes,yes,male,no,15,other
167,1982,935.4746154,16,40,blue,no,no,no,no,female,no,10,other
168,1982,11329.01646,9,50,white,no,no,yes,yes,male,no,17,other
169,1982,5445.3,31,50,white,no,yes,no,yes,male,no,17,other
170,1982,1292.909692,30,49,blue,no,yes,no,yes,male,no,9,other
171,1982,1954.723077,18,28,white,no,no,yes,no,male,no,12,afam
172,1982,4015.559692,16,50,white,no,no,yes,yes,male,no,16,other
173,1982,6143.415385,34,43,white,yes,no,yes,yes,male,no,16,other
174,1982,3052.160462,11,48,blue,yes,no,yes,no,male,yes,12,other
175,1982,2331.705385,9,49,white,no,no,yes,no,female,no,12,other
176,1982,3811.71,10,47,white,no,no,no,yes,male,no,14,other
177,1982,2038.496923,25,50,white,no,no,yes,no,female,no,15,other
178,1982,2401.516923,9,49,blue,yes,no,no,yes,male,no,9,other
179,1982,1630.797538,26,49,blue,no,no,no,yes,male,no,16,other
180,1982,3010.273538,17,50,white,no,no,yes,yes,male,no,12,other
181,1982,3538.048769,20,32,blue,yes,yes,no,yes,male,yes,12,other
182,1982,1396.230769,14,51,blue,no,yes,no,no,female,no,14,other
183,1982,879.6253846,16,41,blue,no,yes,no,no,female,no,8,other
184,1982,3350.953846,31,47,blue,yes,no,yes,yes,male,yes,12,other
185,1982,3426.350308,29,47,blue,no,no,no,yes,male,yes,12,other
186,1982,4942.656923,41,30,blue,yes,no,yes,yes,male,yes,12,other
187,1982,3982.050154,28,42,blue,no,no,yes,yes,male,yes,12,other
188,1982,3677.671846,16,48,white,no,no,yes,yes,male,no,12,other
189,1982,3108.009692,29,49,white,no,no,no,yes,male,no,17,other
190,1982,2926.499692,12,50,blue,yes,yes,no,yes,male,no,9,other
191,1982,2032.912,31,42,blue,yes,yes,no,yes,male,yes,6,other
192,1982,2906.952462,12,44,white,yes,no,yes,yes,male,yes,12,other
193,1982,5015.260923,38,50,white,no,no,yes,yes,male,no,16,other
194,1982,1815.1,17,49,blue,yes,no,no,yes,male,yes,12,other
195,1982,2314.950615,17,52,white,yes,yes,yes,yes,male,no,16,other
196,1982,2792.461538,13,40,blue,no,yes,no,yes,male,no,9,other
197,1982,1393.438308,26,39,blue,yes,yes,no,no,female,no,7,other
198,1982,3490.576923,35,45,white,yes,no,no,yes,male,no,12,other
199,1982,3350.953846,14,50,white,no,no,yes,no,male,no,13,other
200,1982,2340.082769,9,38,white,no,no,no,yes,male,no,17,other
201,1982,2303.780769,26,47,blue,yes,no,no,yes,male,yes,11,other
202,1982,1722.948769,13,50,white,no,yes,yes,no,female,no,12,other
203,1982,1144.909231,25,52,white,no,no,yes,yes,male,no,9,other
204,1982,3211.330769,38,46,blue,no,yes,no,yes,male,yes,9,other
205,1982,3214.123231,31,34,blue,no,yes,no,yes,male,yes,12,other
206,1982,7330.211538,18,47,white,no,no,yes,yes,male,no,13,other
207,1982,7679.269231,19,51,white,no,no,yes,yes,male,no,17,other
208,1982,1186.796154,21,42,blue,no,no,yes,no,female,no,11,afam
209,1982,2764.536923,29,42,white,no,no,no,yes,male,no,17,other
210,1982,2932.084615,40,45,blue,yes,no,no,no,male,yes,8,other
211,1982,5305.676923,36,48,white,yes,no,yes,yes,male,yes,10,other
212,1982,5584.923077,13,49,white,yes,no,yes,yes,male,no,17,other
213,1982,3909.446154,33,48,blue,yes,no,yes,yes,male,no,11,other
214,1982,1954.723077,30,49,blue,no,no,yes,yes,male,no,12,other
215,1982,1675.476923,41,50,white,no,yes,yes,yes,male,no,16,afam
216,1982,5305.676923,23,48,white,no,yes,yes,yes,male,no,17,other
217,1982,1918.421077,10,49,white,no,no,no,yes,male,no,13,other
218,1982,2242.346615,17,49,blue,yes,no,no,yes,male,yes,12,other
219,1982,3780.992923,25,50,blue,no,no,yes,yes,male,yes,12,other
220,1982,3222.500615,39,46,white,no,yes,no,yes,male,yes,12,other
221,1982,4060.239077,34,46,white,no,no,yes,yes,male,yes,17,other
222,1982,1605.665385,7,51,blue,no,no,yes,no,male,no,11,other
223,1982,2443.403846,18,48,white,yes,yes,no,yes,male,no,14,other
224,1982,4160.767692,40,52,blue,no,no,yes,yes,male,yes,5,other
225,1982,2775.706769,16,49,white,no,no,yes,no,female,no,12,other
226,1982,1365.513692,36,50,blue,yes,yes,no,yes,male,no,12,other
227,1982,2792.461538,35,48,white,no,no,yes,yes,male,no,16,other
228,1982,4188.692308,8,49,white,no,no,yes,yes,male,no,16,other
229,1982,2792.461538,22,42,white,yes,no,yes,no,female,yes,17,other
230,1982,2792.461538,8,50,blue,no,no,no,yes,male,yes,12,other
231,1982,8726.442308,29,48,white,yes,no,yes,yes,male,no,16,other
232,1982,3191.783538,33,48,white,no,no,no,yes,male,no,17,other
233,1982,3490.576923,36,39,blue,yes,no,yes,yes,male,yes,10,other
234,1982,2373.592308,27,47,blue,yes,no,no,yes,male,yes,12,other
235,1982,1340.381538,24,49,blue,yes,yes,no,yes,male,no,7,other
236,1982,4984.543846,13,48,white,yes,no,yes,yes,male,no,17,other
237,1982,2038.496923,12,36,white,no,no,no,yes,male,no,16,other
238,1982,3172.236308,38,48,white,no,no,no,yes,male,no,12,other
239,1982,8796.253846,33,49,white,no,no,no,yes,male,no,16,other
240,1982,5347.563846,40,48,blue,no,no,yes,yes,male,yes,12,other
241,1982,2432.234,21,38,blue,no,no,yes,yes,male,yes,10,other
242,1982,1329.211692,13,39,blue,no,no,yes,no,female,yes,10,other
243,1982,4328.315385,15,48,blue,yes,no,yes,yes,male,yes,12,other
244,1982,2345.667692,28,52,blue,yes,yes,no,yes,male,no,10,other
245,1982,2289.818462,42,40,blue,no,no,yes,yes,male,no,7,other
246,1982,2094.346154,43,46,blue,no,yes,no,yes,male,yes,10,other
247,1982,1172.833846,15,49,blue,no,no,yes,no,female,no,7,afam
248,1982,1396.230769,16,47,blue,no,no,yes,no,female,no,11,other
249,1982,3071.707692,36,48,white,yes,no,yes,no,male,no,16,other
250,1982,2002.194923,24,48,blue,yes,yes,no,yes,male,yes,10,other
251,1982,2094.346154,12,49,white,no,yes,no,no,male,no,16,other
252,1982,6143.415385,31,47,white,no,no,yes,yes,male,no,17,afam
253,1982,2932.084615,13,49,white,yes,yes,no,yes,male,yes,12,afam
254,1982,2328.912923,39,24,blue,yes,no,no,yes,male,no,12,other
255,1982,2116.685846,9,50,blue,yes,no,no,no,female,yes,12,other
256,1982,3350.953846,11,48,white,no,yes,yes,yes,male,yes,16,other
257,1982,3741.898462,38,47,blue,yes,no,no,yes,male,yes,12,other
258,1982,3043.783077,31,45,white,no,yes,no,no,male,no,17,other
259,1982,1332.004154,16,52,blue,yes,yes,no,yes,male,no,10,other
260,1982,4188.692308,16,49,white,no,no,yes,yes,male,no,12,other
261,1982,2842.725846,22,49,blue,no,yes,yes,yes,male,yes,10,other
262,1982,4467.938462,18,49,white,no,no,yes,yes,male,no,16,other
263,1982,2094.346154,16,48,blue,yes,no,yes,no,female,no,12,afam
264,1982,3211.330769,9,50,white,no,no,yes,no,female,no,16,other
265,1982,3797.747692,21,47,blue,no,yes,yes,yes,male,yes,12,other
266,1982,4049.069231,27,42,white,no,no,yes,yes,male,yes,17,other
267,1982,3350.953846,20,46,blue,no,yes,yes,yes,male,yes,12,other
268,1982,2024.534615,14,51,white,no,no,no,yes,male,no,14,other
269,1982,3769.823077,27,50,blue,yes,no,no,no,male,yes,9,other
270,1982,7129.154308,27,47,white,no,yes,yes,yes,male,no,16,other
271,1982,2680.763077,13,50,white,no,yes,yes,yes,male,no,16,other
272,1982,3350.953846,12,50,white,no,no,no,yes,male,no,16,other
273,1982,2764.536923,30,46,blue,yes,no,yes,yes,male,yes,12,afam
274,1982,3364.916154,20,48,white,no,no,yes,yes,male,no,17,other
275,1982,6981.153846,7,49,white,no,no,yes,yes,male,no,17,other
276,1982,3071.707692,10,49,blue,yes,no,yes,yes,male,yes,12,other
277,1982,3049.368,39,47,blue,no,yes,no,yes,male,no,8,other
278,1982,4925.902154,13,48,white,yes,no,no,yes,male,no,15,other
279,1982,3702.804,21,49,blue,no,no,yes,yes,male,yes,12,other
280,1982,1535.853846,35,50,white,no,no,yes,yes,male,yes,13,other
281,1982,3071.707692,11,49,blue,yes,no,yes,yes,male,yes,12,other
282,1982,4049.069231,24,48,white,yes,no,yes,yes,male,no,17,other
283,1982,4188.692308,50,49,white,no,no,yes,yes,male,yes,9,other
284,1982,2443.403846,35,48,white,no,no,yes,yes,male,yes,12,other
285,1982,2798.046462,11,48,white,no,no,yes,yes,male,no,12,other
286,1982,2373.592308,17,46,blue,yes,no,no,yes,male,yes,10,other
287,1982,3331.406615,21,40,blue,yes,yes,no,yes,male,yes,10,other
288,1982,4761.146923,19,46,blue,no,yes,no,yes,male,no,12,other
289,1982,7679.269231,34,48,white,no,no,yes,yes,male,no,16,other
290,1982,2094.346154,10,49,white,no,yes,yes,yes,male,no,13,other
291,1982,2943.254462,42,47,blue,yes,no,no,yes,male,no,12,other
292,1982,3839.634615,33,48,white,yes,no,no,yes,male,no,12,other
293,1982,2831.556,16,50,blue,yes,no,no,yes,male,yes,12,other
294,1982,2306.573231,22,47,blue,yes,no,no,yes,male,yes,12,other
295,1982,3211.330769,28,47,white,no,no,yes,no,female,yes,12,other
296,1982,2454.573692,36,50,blue,yes,no,yes,no,male,yes,8,other
297,1982,2513.215385,18,48,blue,no,yes,no,yes,male,yes,12,other
298,1982,1396.230769,17,50,white,yes,yes,yes,no,male,no,12,afam
299,1982,2373.592308,41,50,white,no,no,yes,no,female,no,16,other
300,1982,2046.874308,39,47,blue,no,no,no,yes,male,no,12,other
301,1982,3490.576923,15,48,white,yes,no,yes,yes,male,no,14,other
302,1982,2652.838462,17,36,white,no,no,yes,yes,male,yes,17,other
303,1982,2275.856154,8,48,blue,yes,yes,yes,yes,male,no,13,other
304,1982,1695.024154,17,51,blue,no,yes,yes,yes,male,no,9,other
305,1982,4021.144615,24,48,white,no,no,yes,yes,male,no,16,other
306,1982,2094.346154,24,49,blue,no,no,no,yes,male,no,12,other
307,1982,3283.934769,9,51,blue,yes,no,no,yes,male,yes,8,other
308,1982,3300.689538,33,42,blue,yes,no,yes,yes,male,yes,11,other
309,1982,1477.212154,24,51,blue,yes,no,no,yes,male,no,9,other
310,1982,2705.895231,19,48,blue,yes,no,no,yes,male,yes,12,other
311,1982,3175.028769,11,49,blue,no,yes,no,yes,male,yes,12,other
312,1982,3256.010154,20,49,white,yes,no,yes,yes,male,yes,14,other
313,1982,3490.576923,14,46,white,no,no,no,yes,male,no,16,other
314,1982,2987.933846,16,50,blue,no,no,no,yes,male,yes,12,other
315,1982,2583.026923,16,48,white,no,no,no,yes,male,no,17,other
316,1982,7561.985846,36,50,white,yes,no,no,yes,male,no,17,other
317,1982,1396.230769,18,26,blue,no,no,no,yes,male,no,12,other
318,1982,2792.461538,16,49,white,yes,no,yes,yes,male,no,15,other
319,1982,3172.236308,30,40,blue,yes,yes,yes,yes,male,yes,12,other
320,1982,2457.366154,26,46,blue,yes,yes,yes,yes,male,no,6,afam
321,1982,2228.384308,12,49,blue,yes,yes,yes,yes,male,yes,12,other
322,1982,3490.576923,19,47,white,yes,no,no,yes,male,no,12,other
323,1982,3490.576923,18,47,white,no,yes,yes,no,female,no,16,other
324,1982,3071.707692,9,48,blue,no,no,no,yes,male,yes,14,other
325,1982,2233.969231,41,50,white,no,yes,yes,yes,male,no,15,other
326,1982,3677.671846,28,47,white,no,yes,no,yes,male,no,12,other
327,1982,1396.230769,16,36,blue,no,yes,yes,no,female,no,12,afam
328,1982,3197.368462,37,49,blue,yes,no,yes,yes,male,no,10,other
329,1982,2792.461538,44,48,white,yes,no,yes,yes,male,no,15,other
330,1982,3434.727692,41,36,white,no,no,yes,yes,male,no,17,other
331,1982,3350.953846,44,47,blue,yes,no,yes,yes,male,no,11,other
332,1982,1248.230308,42,48,blue,no,yes,yes,no,female,no,12,afam
333,1982,2792.461538,12,48,blue,no,no,yes,yes,male,yes,12,other
334,1982,1675.476923,41,49,blue,yes,yes,no,yes,male,no,5,other
335,1982,3350.953846,30,48,white,no,yes,yes,yes,female,no,16,other
336,1982,2812.008769,34,47,blue,no,yes,no,yes,male,no,14,other
337,1982,4537.75,10,50,white,no,yes,yes,yes,male,no,12,other
338,1982,2513.215385,15,47,blue,no,no,yes,no,female,yes,12,other
339,1982,1466.042308,15,48,white,no,no,no,no,female,no,12,other
340,1982,3191.783538,34,47,white,no,no,yes,yes,male,yes,12,other
341,1982,6003.792308,13,49,white,yes,no,yes,yes,male,no,17,other
342,1982,4012.767231,37,47,white,yes,no,yes,yes,male,no,9,other
343,1982,3722.351231,33,43,white,yes,no,yes,yes,male,no,12,other
344,1982,6051.264154,25,48,white,yes,no,yes,yes,male,no,17,other
345,1982,1815.1,23,49,white,yes,no,yes,yes,male,yes,11,afam
346,1982,4188.692308,28,40,white,no,no,yes,yes,male,yes,17,other
347,1982,3490.576923,24,36,white,no,no,no,yes,male,no,17,other
348,1982,8494.668,33,25,white,yes,yes,yes,no,male,no,16,other
349,1982,3727.936154,9,49,white,no,yes,yes,yes,male,no,12,other
350,1982,3323.029231,43,43,blue,no,yes,yes,yes,male,yes,11,other
351,1982,2898.575077,29,50,blue,yes,no,no,yes,male,yes,8,other
352,1982,3194.576,11,48,white,no,yes,yes,yes,male,no,14,other
353,1982,8184.704769,36,47,white,yes,no,yes,yes,male,no,17,other
354,1982,3350.953846,27,49,blue,yes,no,yes,yes,male,yes,12,afam
355,1982,1535.853846,13,51,blue,no,no,no,yes,male,no,12,other
356,1982,3258.802615,10,50,blue,yes,no,yes,yes,male,no,12,other
357,1982,3085.67,22,48,blue,yes,no,yes,yes,male,yes,12,other
358,1982,3035.405692,22,36,white,no,no,no,yes,male,yes,16,other
359,1982,1736.911077,42,48,blue,yes,no,no,yes,male,yes,10,other
360,1982,3490.576923,34,48,white,yes,no,yes,yes,male,no,12,other
361,1982,3803.332615,11,51,white,no,yes,yes,no,female,no,17,other
362,1982,3420.765385,26,51,blue,no,yes,no,yes,male,no,10,other
363,1982,2513.215385,21,47,blue,no,no,no,yes,male,yes,12,other
364,1982,2482.498308,26,47,blue,yes,no,yes,no,female,no,13,other
365,1982,4264.088769,38,49,white,no,no,yes,yes,male,no,17,other
366,1982,2228.384308,18,50,white,no,yes,yes,yes,male,no,12,other
367,1982,3350.953846,31,49,blue,yes,no,yes,yes,male,no,9,other
368,1982,5305.676923,15,48,white,no,yes,yes,yes,male,no,16,other
369,1982,3490.576923,8,48,blue,no,no,yes,yes,male,yes,14,other
370,1982,3350.953846,15,47,white,no,no,yes,yes,male,yes,12,other
371,1982,3415.180462,37,47,blue,no,no,yes,yes,male,yes,10,other
372,1982,2856.688154,15,48,white,no,no,yes,no,female,no,16,other
373,1982,1815.1,22,47,white,no,yes,yes,no,female,no,11,afam
374,1982,1471.627231,19,49,blue,no,no,no,yes,male,no,9,other
375,1982,1253.815231,26,36,white,no,yes,yes,no,female,no,11,afam
376,1982,2652.838462,33,47,white,no,no,no,yes,male,no,12,other
377,1982,4607.561538,27,50,white,no,yes,yes,yes,male,no,12,other
378,1982,4021.144615,9,48,white,yes,no,no,yes,male,no,15,other
379,1982,2918.122308,28,49,blue,yes,yes,yes,yes,male,no,7,other
380,1982,2233.969231,36,48,blue,no,yes,yes,yes,male,yes,10,other
381,1982,2792.461538,32,47,blue,yes,no,yes,yes,male,yes,11,other
382,1982,1940.760769,26,51,blue,no,no,yes,yes,male,yes,12,afam
383,1982,2946.046923,35,43,blue,no,no,yes,yes,male,yes,12,afam
384,1982,1851.402,33,49,blue,no,no,yes,yes,male,yes,12,other
385,1982,3613.445231,16,50,blue,no,no,yes,yes,male,yes,12,other
386,1982,7260.4,23,49,white,no,yes,no,yes,male,no,14,other
