year,violent,murder,robbery,prisoners,afam,cauc,male,population,income,density,state,law
1999,349.3,7.7,111.6,574,12.89336,47.0393,15.1223,2.768619,12370.23,0.0590148,Mississippi,yes
1999,500.2,6.6,130.7,457,4.451169,65.11991,14.0275,5.468338,15789.59,0.0793686,Missouri,no
1999,206.5,2.6,25.8,310,2.83038,70.73254,14.36011,0.882779,13154.21,0.0060649,Montana,yes
1999,430.2,3.6,75.9,215,2.352001,69.41042,14.63403,1.666028,16174.11,0.0216711,Nebraska,no
1999,570,9.1,232.7,542,5.589821,63.63499,13.65448,1.809253,18540.39,0.0164768,Nevada,yes
1999,96.5,1.5,21.4,182,0.9426925,74.65687,13.54528,1.201134,18732.35,0.1339206,New Hampshire,yes
1999,411.9,3.5,174.9,382,7.68151,58.14891,12.73195,8.143412,21295.97,1.097643,New Jersey,no
1999,834.5,9.8,148.2,271,5.31243,63.32625,14.6754,1.739844,13057.93,0.0143356,New Mexico,no
1999,588.8,5,240.8,397,8.678829,55.9836,13.1956,18.1966,20272.8,0.3853253,New York,no
1999,542.1,7.2,158,358,8.760103,56.69116,14.02926,7.650789,15797.37,0.1570423,North Carolina,yes
1999,66.9,1.6,8.8,128,2.349187,70.14247,15.24668,0.633666,13917.25,0.0091844,North Dakota,yes
1999,316.4,3.5,128,432,4.507334,65.46132,13.94151,11.25665,16248.26,0.2748676,Ohio,no
1999,508.2,6.9,82.9,622,6.265761,62.08629,14.71476,3.358044,13728.88,0.0488948,Oklahoma,yes
1999,374.9,2.7,86.2,260,2.64457,70.33952,13.85325,3.316154,16120.88,0.0345422,Oregon,yes
1999,420.5,4.9,155.7,303,4.07429,65.01945,13.05575,11.99402,17114.16,0.2676041,Pennsylvania,yes
1999,286.6,3.6,79.5,220,2.957654,66.86559,13.32948,0.990819,17542.33,0.9481522,Rhode Island,no
1999,847.1,6.6,148.2,550,11.00561,52.61976,14.268,3.885736,14075.72,0.1290471,South Carolina,yes
1999,167.4,2.5,14.1,329,3.544923,66.76824,14.86347,0.733133,14974.52,0.0096595,South Dakota,yes
1999,694.9,7.1,156.8,325,6.246919,62.68462,13.73678,5.483535,15277.7,0.1330309,Tennessee,yes
1999,560.3,6.1,146.7,724,5.940265,62.56689,15.13231,20.04414,16046.73,0.0765295,Texas,yes
1999,275.5,2.1,54.4,205,1.921228,70.28898,18.156,2.129836,13919.05,0.0259205,Utah,yes
1999,113.8,2.9,10.9,188,0.7105804,76.52575,13.82457,0.59374,15455.31,0.064195,Vermont,yes
1999,314.7,5.7,101.1,399,9.045802,58.35429,14.14417,6.872912,17816.81,0.1735672,Virginia,yes
1999,377.3,3,100.9,247,4.602491,67.48767,14.33652,5.756361,18167.24,0.0864552,Washington,yes
1999,350.6,4.4,36.6,192,1.391588,72.94131,13.5825,1.806928,12510.76,0.0750167,West Virginia,yes
1999,245.9,3.4,84.7,334,2.938665,69.429,14.32648,5.250446,16367.26,0.0966684,Wisconsin,no
1999,232.3,2.3,15.4,327,1.613004,74.04952,15.48013,0.479602,15765.07,0.004939,Wyoming,yes
